ticker,company_name,region
A,Agilent Technologies Inc.,US
AAL,American Airlines Group Inc.,US
AAPL,Apple Inc.,US
ABBV,AbbVie Inc.,US
ABI.BR,Anheuser-Busch InBev SA/NV,Europe
ABT,Abbott Laboratories,US
ACA.PA, Credit Agricole SA, Europe
ACN,Accenture PLC Class A,US
ADBE,Adobe Inc.,US
ADI,Analog Devices Inc.,US
ADS.DE,Adidas AG,Europe
ADYEN.AS,Adyen NV,Europe
AEE,Ameren Corp.,US
AEP,American Electric Power Company Inc.,US
AES,AES Corp.,US
AFL,Aflac Inc.,US
AIG,American International Group Inc.,US
AI.PA,L'Air Liquide SA,Europe
AIZ,Assurant Inc.,US
AJG,Arthur J. Gallagher & Co.,US
AKAM,Akamai Technologies Inc.,US
ALB,Albemarle Corp.,US
ALC,Alcon Inc.,International
ALGN,Align Technology Inc.,US
ALK,Alaska Air Group Inc.,US
ALL,Allstate Corp.,US
ALLE,Allegion PLC,US
ALV.DE,Allianz SE,Europe
AMAT,Applied Materials Inc.,US
AMCR,Amcor PLC,US
AME,AMETEK Inc.,US
AMGN,Amgen Inc.,US
AMP,Ameriprise Financial Inc.,US
AMP.MI,Amplifon S.p.A.,Europe
AMT,American Tower Corp.,US
AMZN,Amazon.com Inc.,US
ANET,Arista Networks Inc.,US
ANSS,ANSYS Inc.,US
AON,Aon PLC Class A,US
AOS,A. O. Smith Corp.,US
APA,APA Corp.,US
APD,Air Products and Chemicals Inc.,US
APH,Amphenol Corp.,US
APO,Apollo Global Management,US
APTV,Aptiv PLC,US
ARE,Alexandria Real Estate Equities Inc.,US
ASML.AS,ASML Holding NV,Europe
ATO,Atmos Energy Corp.,US
AVB,AvalonBay Communities Inc.,US
AVGO,Broadcom Inc.,US
AWK,American Water Works Company Inc.,US
AXP,American Express Co.,US
AXON,Axon Enterprise Inc.,US
AZM.MI,Azimut Holding S.p.A.,Europe
AZN,AstraZeneca PLC,International
AZO,AutoZone Inc.,US
A2A.MI,A2A S.p.A.,Europe
BA,Boeing Co.,US
BABA,Alibaba Group Holding Ltd.,International
BAC,Bank of America Corp,US
BALL,Ball Corp.,US
BAMI.MI,Banco BPM S.p.A.,Europe
BAS.DE,BASF SE,Europe
BAX,Baxter International Inc.,US
BAYN.DE,Bayer AG,Europe
BBWI,Bath & Body Works Inc.,US
BBVA.MC,Banco Bilbao Vizcaya Argentaria, S.A.,Europe
BCE,BCE Inc.,International
BDX,Becton Dickinson and Co.,US
BEN,Franklin Resources Inc.,US
BF-B,Brown-Forman Corp.,US
BG,Bunge Global SA,US
BGN.MI,Banca Generali S.p.A.,Europe
BHP,BHP Group Ltd,International
BIIB,Biogen Inc.,US
BIO,Bio-Rad Laboratories Inc.,US
BK,Bank of New York Mellon Corp.,US
BKNG,Booking Holdings Inc.,US
BKR,Baker Hughes Co.,US
BLK,BlackRock Inc.,US
BMO,Bank of Montreal,International
BMPS.MI,Banca Monte dei Paschi di Siena S.p.A.,Europe
BMW.DE,Bayerische Motoren Werke AG,Europe
BNP.PA,BNP Paribas SA,Europe
BNS,Bank of Nova Scotia,International
BN.PA,Danone SA,Europe
BPE.MI,BPER Banca S.p.A.,Europe
BRK-A,Berkshire Hathaway Inc. Class A,US
BRK-B,Berkshire Hathaway Inc. Class B,US
BSX,Boston Scientific Corp.,US
BTI,British American Tobacco PLC,International
BUD,Anheuser-Busch InBev SA/NV,International
BWA,BorgWarner Inc.,US
BXP,Boston Properties Inc.,US
BYD,Boyd Gaming Corp.,US
BZU.MI,Buzzi Unicem S.p.A.,Europe
C,Citigroup Inc.,US
CABK.MC,CaixaBank, S.A.,Europe
CAG,Conagra Brands Inc.,US
CAH,Cardinal Health Inc.,US
CARR,Carrier Global Corp.,US
CAT,Caterpillar Inc.,US
CBA.AX,Commonwealth Bank of Australia,International
CBOE,Cboe Global Markets Inc.,US
CBRE,CBRE Group Inc.,US
CB,Chubb Ltd.,US
CCI,Crown Castle Inc.,US
CCL,Carnival Corp.,US
CDNS,Cadence Design Systems Inc.,US
CDW,CDW Corp.,US
CEG,Constellation Energy Corp.,US
CE,Celanese Corp.,US
CFG,Citizens Financial Group Inc.,US
CF,CF Industries Holdings Inc.,US
CHD,Church & Dwight Co. Inc.,US
CHRW,C.H. Robinson Worldwide Inc.,US
CHT,Chunghwa Telecom Co. Ltd.,International
CHTR,Charter Communications Inc.,US
CIB,BanColombia SA,International
CI,Cigna Group,US
CINF,Cincinnati Financial Corp.,US
CL,Colgate-Palmolive Co.,US
CLX,Clorox Co.,US
CMA,Comerica Inc.,US
CMCSA,Comcast Corp.,US
CME,CME Group Inc.,US
CMG,Chipotle Mexican Grill Inc.,US
CMI,Cummins Inc.,US
CMS,CMS Energy Corp.,US
CNC,Centene Corp.,US
CNI,Canadian National Railway Co.,International
CNP,CenterPoint Energy Inc.,US
COF,Capital One Financial Corp.,US
COO,Cooper Companies Inc.,US
COP,ConocoPhillips,US
COR,Cencora Inc,US
COST,Costco Wholesale Corp.,US
CPAY,FleetCor Technologies Inc.,US
CPB,Campbell Soup Co.,US
CPR.MI,Credito Emiliano S.p.A.,Europe
CPRT,Copart Inc.,US
CPT,Camden Property Trust,US
CRH.L,CRH PLC,Europe
CRL,Charles River Laboratories International Inc.,US
CRM,Salesforce Inc.,US
CRWD,CrowdStrike Holdings Inc.,US
CSCO,Cisco Systems Inc.,US
CSGP,CoStar Group Inc.,US
CSL.AX,CSL Ltd.,International
CS.PA,AXA SA,Europe
CSX,CSX Corp.,US
CTAS,Cintas Corp.,US
CTRA,Coterra Energy Inc.,US
CTSH,Cognizant Technology Solutions Corp.,US
CTVA,Corteva Inc.,US
CVS,CVS Health Corp.,US
CVX,Chevron Corp.,US
D,Dominion Energy Inc.,US
DAL,Delta Air Lines Inc.,US
DASH,DoorDash Inc.,US
DAY,Dayforce Inc.,US
DB1.DE,Deutsche Boerse AG,Europe
DBK.DE,Deutsche Bank AG,Europe
DD,DuPont de Nemours Inc.,US
DECK,Deckers Outdoor Corp.,US
DELL,Dell Technologies Inc.,US
DEO,Diageo PLC,International
DE,Deere & Co.,US
DG,Dollar General Corp.,US
DG.PA,Vinci SA,Europe
DGX,Quest Diagnostics Inc.,US
DHI,D.R. Horton Inc.,US
DHR,Danaher Corp.,US
DHL.DE,Deutsche Post AG,Europe
DIA.MI,Diasorin S.p.A.,Europe
DIS,Walt Disney Co.,US
DLR,Digital Realty Trust Inc.,US
DLTR,Dollar Tree Inc.,US
DOV,Dover Corp.,US
DOW,Dow Inc.,US
DPZ,Domino's Pizza Inc.,US
DRI,Darden Restaurants Inc.,US
DTE,DTE Energy Co.,US
DTE.DE,Deutsche Telekom AG,Europe
DUK,Duke Energy Corp.,US
DVA,DaVita Inc.,US
DVN,Devon Energy Corp.,US
DXC,DXC Technology Co.,US
DXCM,DexCom Inc.,US
EA,Electronic Arts Inc.,US
EBAY,eBay Inc.,US
ECL,Ecolab Inc.,US
ED,Consolidated Edison Inc.,US
EFX,Equifax Inc.,US
EIX,Edison International,US
EL,Estee Lauder Companies Inc.,US
EL.PA,EssilorLuxottica SA,Europe
ELV,Elevance Health Inc.,US
EMN,Eastman Chemical Co.,US
EMR,Emerson Electric Co.,US
ENB,Enbridge Inc.,US
