date,nav,cash,n_pos
2024-01-16,9999.83391683656,9667.667589956105,1
2024-01-17,9981.951209062874,9650.026513988316,1
2024-01-18,9991.057528910935,9336.513323662579,2
2024-01-19,9994.898337253928,9682.159626850485,1
2024-01-22,9998.23297081673,9348.990506274342,2
2024-01-23,10012.027978410839,9374.96604870808,2
2024-01-24,10021.97717795193,9386.241601322292,2
2024-01-25,10030.928210201382,9537.291315975308,2
2024-01-26,10034.264822902798,9537.291315975308,2
2024-01-29,10036.222023616909,9728.12584365475,1
2024-01-30,10033.505367885708,9728.12584365475,1
2024-01-31,10027.926563869594,9728.12584365475,1
2024-02-01,10028.595905056118,9514.27214406979,2
2024-02-02,10036.149413814663,9514.27214406979,2
2024-02-05,10026.833045551419,8715.937369892239,5
2024-02-06,10037.283004352688,8715.937369892239,5
2024-02-07,10032.861193794368,9258.905459541438,3
2024-02-08,10039.992282051204,9258.905459541438,3
2024-02-09,10048.34630779272,8924.70618621355,4
2024-02-12,10081.099542726515,9277.897073854445,3
2024-02-13,10064.63056384468,9277.897073854445,3
2024-02-14,10057.722574342726,9277.897073854445,3
2024-02-15,10073.497809465407,9496.116492326735,2
2024-02-16,10066.785224016188,9496.116492326735,2
2024-02-19,10066.785224016188,9496.116492326735,2
2024-02-20,10066.570929582595,9496.116492326735,2
2024-02-21,10061.748518453596,8900.740347372053,4
2024-02-22,10079.177425848005,8900.740347372053,4
2024-02-23,10080.300461296558,9498.984207634448,2
2024-02-26,10073.660296856402,9163.61712211275,3
2024-02-27,10083.601826964854,8834.919444381236,4
2024-02-28,10083.296999415874,9186.079019984722,3
2024-02-29,10089.465422114848,9186.079019984722,3
2024-03-01,10085.127840381145,8857.270700793742,4
2024-03-04,10048.007972070693,9442.508453676222,2
2024-03-05,10045.841838111877,9389.55732559204,2
2024-03-06,10055.34712457466,9734.194914339065,1
2024-03-07,10065.954977510451,9734.194914339065,1
2024-03-08,10072.283167087555,10072.283167087555,0
2024-03-11,10072.283167087555,10072.283167087555,0
2024-03-12,10072.283167087555,10072.283167087555,0
2024-03-13,10072.283167087555,10072.283167087555,0
2024-03-14,10072.283167087555,10072.283167087555,0
2024-03-15,10072.283167087555,10072.283167087555,0
2024-03-18,10072.283167087555,10072.283167087555,0
2024-03-19,10072.283167087555,10072.283167087555,0
2024-03-20,10072.283167087555,10072.283167087555,0
2024-03-21,10072.283167087555,10072.283167087555,0
2024-03-22,10072.283167087555,10072.283167087555,0
2024-03-25,10072.283167087555,10072.283167087555,0
2024-03-26,10072.283167087555,10072.283167087555,0
2024-03-27,10072.283167087555,10072.283167087555,0
2024-03-28,10072.283167087555,10072.283167087555,0
2024-03-29,10072.283167087555,10072.283167087555,0
2024-04-01,10072.283167087555,10072.283167087555,0
2024-04-02,10072.283167087555,10072.283167087555,0
2024-04-03,10072.283167087555,10072.283167087555,0
2024-04-04,10072.125679676055,9757.150856678008,1
2024-04-05,10065.364906970977,9757.150856678008,1
2024-04-08,10057.71561497879,9757.150856678008,1
2024-04-09,10067.914711658477,9757.150856678008,1
2024-04-10,10065.673989002227,9757.150856678008,1
2024-04-11,10071.32313840103,9465.399066135406,2
2024-04-12,10123.523620679853,9189.568004682538,3
2024-04-15,10103.632239237784,8466.407982722281,5
2024-04-16,10149.549909529687,8867.544765410425,4
2024-04-17,10180.620730623248,8922.02703402901,4
2024-04-18,10183.177478059772,8922.02703402901,4
2024-04-19,10202.51547462273,8162.520578687672,7
2024-04-22,10209.124910657887,8162.520578687672,7
2024-04-23,10276.122209669118,8155.513536573415,7
2024-04-24,10278.072023551947,9130.695482414252,4
2024-04-25,10268.516031425483,9130.695482414252,4
2024-04-26,10272.099535568244,8634.507189376838,6
2024-04-29,10291.537325485237,8634.507189376838,6
2024-04-30,10259.994735641487,8904.122314376838,5
2024-05-01,10245.941678779609,8584.515737312324,6
