date,nav,cash,n_pos
2023-01-03,99990.41898577118,99017.51899950409,1
2023-01-04,100011.61172372055,100011.61172372055,0
2023-01-05,100011.61172372055,100011.61172372055,0
2023-01-06,100011.61172372055,100011.61172372055,0
2023-01-09,100011.61172372055,100011.61172372055,0
2023-01-10,100011.61172372055,100011.61172372055,0
2023-01-11,100011.61172372055,100011.61172372055,0
2023-01-12,100011.61172372055,100011.61172372055,0
2023-01-13,100011.61172372055,100011.61172372055,0
2023-01-16,100011.61172372055,100011.61172372055,0
2023-01-17,100014.70454880527,99141.21504685214,1
2023-01-18,99996.47060105136,99141.21504685214,1
2023-01-19,99989.28047653964,99141.21504685214,1
2023-01-20,100002.29819861204,98154.186656864,2
2023-01-23,100030.7598990515,98154.186656864,2
2023-01-24,100041.78562536986,98154.186656864,2
2023-01-25,100076.99479285032,98154.186656864,2
2023-01-26,100039.44123450071,98154.186656864,2
2023-01-27,100024.6947440222,98154.186656864,2
2023-01-30,100008.53785315306,98154.186656864,2
2023-01-31,100037.66529455931,98154.186656864,2
2023-02-01,100040.4443167761,98154.186656864,2
2023-02-02,100053.49479285032,98154.186656864,2
2023-02-03,100045.67408362181,98154.186656864,2
2023-02-06,100027.54615393431,98154.186656864,2
2023-02-07,100043.75217810423,98154.186656864,2
2023-02-08,100052.8184928015,98154.186656864,2
2023-02-09,99918.76612764315,97211.24335390047,3
2023-02-10,99991.61933809237,97211.24335390047,3
2023-02-13,99997.21182924227,97211.24335390047,3
2023-02-14,99987.71395784334,97211.24335390047,3
2023-02-15,99986.8931418033,97211.24335390047,3
2023-02-16,99988.38651143009,96227.88907490665,4
2023-02-17,100075.83037815982,96227.88907490665,4
2023-02-20,100075.83037815982,96227.88907490665,4
2023-02-21,100087.77328358585,96227.88907490665,4
2023-02-22,100092.57934297726,96142.13332237408,4
2023-02-23,100081.97492803738,96142.13332237408,4
2023-02-24,100008.74631046696,93405.85177087231,7
2023-02-27,99983.66299747868,93405.85177087231,7
2023-02-28,99966.8989050333,93405.85177087231,7
2023-03-01,99962.50068997784,93405.85177087231,7
