date,nav,cash,n_pos
2025-07-02,99804.28164508057,80073.96200396729,2
2025-07-03,99689.88248278809,80073.96200396729,2
2025-07-04,99689.88248278809,80073.96200396729,2
2025-07-07,99327.6718046875,80073.96200396729,2
2025-07-08,99130.18173052979,80073.96200396729,2
2025-07-09,99528.44209887696,80073.96200396729,2
2025-07-10,99006.62221362305,80073.96200396729,2
2025-07-11,98400.8722861023,80073.96200396729,2
2025-07-14,97923.78097302247,70509.09150463868,3
2025-07-15,96850.90153417778,60804.551859476094,4
2025-07-16,97227.24148903084,60804.551859476094,4
2025-07-17,96610.90224609566,60804.551859476094,4
2025-07-18,95202.60192070199,60804.551859476094,4
2025-07-21,94612.70188818169,60804.551859476094,4
2025-07-22,95107.48987495995,51697.280284524924,5
2025-07-23,96551.97090542412,51697.280284524924,5
2025-07-24,94334.63989651299,51697.280284524924,5
2025-07-25,95288.92521135903,42422.34484140969,6
2025-07-28,94341.40405695535,42422.34484140969,6
2025-07-29,93241.51515715219,42422.34484140969,6
2025-07-30,92884.17052861786,33138.11976358033,7
2025-07-31,92169.92238273621,5561.998207950603,10
2025-08-01,92531.35327138902,5561.998207950603,10
2025-08-04,92979.87293758393,5561.998207950603,10
2025-08-05,93762.38801183701,5561.998207950603,10
2025-08-06,93144.15756359101,5561.998207950603,10
2025-08-07,94119.823432827,5561.998207950603,10
2025-08-08,94369.08781863023,6235.396296031964,10
2025-08-11,93677.80675030519,6235.396296031964,10
2025-08-12,95552.56658364106,6235.396296031964,10
2025-08-13,97036.0451024399,16433.705067478193,9
2025-08-14,96115.62102826692,16433.705067478193,9
2025-08-15,97455.74998363115,16433.705067478193,9
2025-08-18,97793.09513124086,16433.705067478193,9
2025-08-19,98490.37568124391,16433.705067478193,9
2025-08-20,98903.67891070749,6557.609243368162,10
