open_date,close_date,ticker,qty,entry_px,exit_px,reason,pnl
2025-07-31,2025-08-09,BAX,428,21.510000228881836,23.559999465942383,take,877.3996734619141
2025-07-31,2025-08-14,ALGN,71,129.0,143.7100067138672,take,1044.4104766845703
2025-07-02,2025-08-20,CNC,294,33.959999084472656,29.399999618530273,eop,-1340.6398429870605
2025-07-02,2025-08-20,MOH,41,242.24000549316406,173.60000610351562,eop,-2814.239974975586
2025-07-14,2025-08-20,WAT,31,308.3900146484375,296.7300109863281,eop,-361.4601135253906
2025-07-15,2025-08-20,ERIC,1309,7.409999847412109,7.71999979019165,eop,405.7899250984192
2025-07-22,2025-08-20,LMT,22,413.760009765625,446.0,eop,709.27978515625
2025-07-25,2025-08-20,CHTR,30,309.010009765625,266.6199951171875,eop,-1271.700439453125
2025-07-30,2025-08-20,AMP.MI,623,14.895000457763672,15.279999732971191,eop,239.85454845428467
2025-07-31,2025-08-20,BUD,157,58.58000183105469,63.09000015258789,eop,708.0697364807129
2025-08-08,2025-08-20,FTNT,127,74.0199966430664,79.61000061035156,eop,709.9305038452148
2025-08-20,2025-08-20,JHX,533,18.520000457763672,18.639999389648438,eop,63.95943069458008
