date,nav,cash,n_pos
2023-01-04,100018.81954668544,88911.30102251552,2
2023-01-05,99864.05887764043,49145.37340705937,10
2023-01-06,100610.57505195684,49145.37340705937,10
2023-01-09,100873.54127180565,46030.81984770286,10
2023-01-10,101020.93935521768,51674.04717763588,9
2023-01-11,101718.83447037732,77348.91441880261,4
2023-01-12,101599.46792778271,92627.07206138867,1
2023-01-13,101549.71993431347,92627.07206138867,1
2023-01-16,101583.04776046007,101583.04776046007,0
2023-01-17,101628.50712341406,85831.80212158301,3
2023-01-18,101435.30941528418,85831.80212158301,3
2023-01-19,101156.26769444693,60386.75293156851,8
2023-01-20,101556.85535619009,60386.75293156851,8
2023-01-23,101867.6338963297,64833.47728774816,7
2023-01-24,102145.11315092944,90934.16924223803,2
2023-01-25,102198.06762145208,98203.92424987005,1
2023-01-26,102252.84704475569,91804.4303272264,2
2023-01-27,102293.00675341635,86510.8625845626,3
2023-01-30,102274.3611438306,83731.5346934827,4
2023-01-31,102555.15036609289,91852.748701359,2
2023-02-01,102632.21595617168,90824.14894719952,2
2023-02-02,102469.53980538518,81346.12092110784,4
2023-02-03,102212.6012998427,58837.47942789447,9
2023-02-06,102101.35081572483,50952.28213591526,10
2023-02-07,102954.6480499298,67710.63877258605,6
2023-02-08,102841.95462839224,70855.25326578238,6
2023-02-09,102496.5848089773,52769.46819749659,9
2023-02-10,103003.11140782645,64946.97451360037,7
2023-02-13,103592.17545473333,76148.04836809392,5
2023-02-14,103546.86627209427,81415.55866253616,4
2023-02-15,103794.7755411584,69402.14111504145,6
2023-02-16,103213.9305365299,74993.12453677403,5
2023-02-17,103433.05713528264,50948.45061749089,10
2023-02-20,103503.02283352482,50948.45061749089,10
2023-02-21,103723.82149630557,53646.64435320864,10
2023-02-22,103687.55807658478,51540.83289881989,10
2023-02-23,105204.26030816798,51618.8280762649,9
2023-02-24,103965.13361877811,46599.03148025883,10
2023-02-27,104121.34133181741,50937.886032439965,10
2023-02-28,103901.7916949766,50937.886032439965,10
2023-03-01,104204.40302486344,67059.39305324478,7
2023-03-02,104066.57266568115,86368.07950924804,3
2023-03-03,104059.64856031905,92541.06403425704,2
2023-03-06,103987.54925230514,92541.06403425704,2
2023-03-07,103725.66176919396,98702.21799020226,1
2023-03-08,103880.4101284298,85279.10916407433,5
2023-03-09,103627.02642763575,55053.59356535394,10
2023-03-10,103531.76230673122,41297.843589346885,10
